"","corr","p"
"SYT4",0.00871622846268523,0.408926938187098
"ZBTB40",0.00871470370062412,0.409008906392821
"NXPH3",0.00871426747613986,0.409032358760509
"AL355312.2",0.00871356567507259,0.409070090776291
"OPRK1",0.00871136536126731,0.409188403073214
"AC064836.2",0.00870728909666717,0.409407640239669
"AC138904.1",0.00870205830131475,0.409689074825875
"PITPNM2",0.00870028821740587,0.409784337404361
"ZNF583",0.008697383002949,0.409940719109217
"AC016888.1",0.00869722747003352,0.409949092125641
"LRRC69",0.00869688363713616,0.409967602513586
"KAZN",0.00869554920071585,0.410039447162049
"ZNF568",0.00869303562952859,0.41017479550197
"MIS18A-AS1",0.00869130511522392,0.410267993984101
"SPAG16-DT",0.00868880941065838,0.410402424665669
"ZNF665",0.00868867119041878,0.410409870638926
"SRRM5",0.00868597265261589,0.410555257904006
"KDM8",0.00867780431790958,0.410995524060391
"AC009133.2",0.00867710972798423,0.41103297478097
"GARNL3",0.00867461478615593,0.411167513117925
"AC107071.1",0.00867449409545903,0.411174021958696
"TRIM54",0.00867356696772819,0.411224023931155
"AC006525.1",0.00867147200999301,0.41133702275217
"LINC00896",0.00866523472028382,0.411673561715602
"RBAKDN",0.00866219863119315,0.411837435907581
"AC106900.1",0.00865892846248121,0.412013987917835
"CRYBG2",0.00865786992352379,0.412071146626006
"RNF212",0.00865303296790418,0.412332391105705
"FANCM",0.00865255196900775,0.412358375272184
"AC097709.1",0.00865146745486494,0.412416965653928
"KCNJ11",0.00865109603928244,0.412437032345517
"AL158151.4",0.00864496145593799,0.412768552849691
"CD3D",0.00864469337666893,0.412783043785845
"LAMC2",0.00864454598877541,0.412791010918047
"AC005833.2",0.00864412043768772,0.412814014823218
"VPS28",0.00864348592351102,0.41284831600248
"IFT43",0.00864312748349948,0.41286769364457
"CSRNP3",0.00864270430301395,0.412890571917967
"AP000654.1",0.00863941227694212,0.413068573330613
"AC023790.2",0.00863941227694212,0.413068573330613
"GJB3",0.00863931129785749,0.413074034035986
"AC104794.2",0.00863931129785749,0.413074034035986
"LINC01144",0.00863928671561064,0.413075363391084
"AC084125.1",0.00863683637322544,0.413207885356398
"AC135048.3",0.00863452472695054,0.413332929290185
"AL590096.1",0.00862396099259512,0.413904638671163
"AGMAT",0.00862308586773824,0.413952021411559
"FGF2",0.00862027721975148,0.414104114461242
"TCL6",0.00861978622779983,0.414130705901835
"AL355377.3",0.00861625954557281,0.414321735783181
"AP005482.1",0.00861425315833577,0.414430439062722
"AC046143.1",0.00861012601108184,0.414654095197637
"AC026979.1",0.00860749629290323,0.414796640674958
"AC079949.5",0.00860517380246283,0.414922556768259
"AL359258.2",0.00859630912286994,0.415403371668084
"MUSK",0.00859356451918404,0.415552304017949
"ZIC3",0.00859356451918404,0.415552304017949
"TRGC2",0.00859225050473375,0.415623618464323
"LINC02539",0.00859216749708641,0.415628123714086
"AL159166.1",0.00859216749708641,0.415628123714086
"AC022509.2",0.00859216749708641,0.415628123714086
"LINC00626",0.00859013351978588,0.415738527080298
"LINC02477",0.00859013351978588,0.415738527080298
"AL161729.3",0.00859013351978588,0.415738527080298
"HCN3",0.00859011890370191,0.415739320497368
"LINC02696",0.0085884942167911,0.415827520304129
"AC046195.2",0.00858755508880862,0.415878508030419
"RAI1-AS1",0.00858755508880862,0.415878508030419
"SLC10A6",0.00858065358006268,0.416253322285675
"AL355312.3",0.00858065358006268,0.416253322285675
"AC068831.4",0.00857990038764905,0.416294239496623
"EFHD1",0.00857834941172229,0.416378503806723
"AC022509.4",0.00857591844156933,0.416510598328243
"AC011912.1",0.00857400544923037,0.416614564250831
"BCL2L10",0.00857370562171555,0.416630860446945
"LARP6",0.00857285120962393,0.416677301432618
"KNCN",0.00857223833895991,0.416710615479348
"AC106786.2",0.00857133906017256,0.41675950076615
"LRRC66",0.0085699915930482,0.416832756146138
"PCDHGA7",0.00856557728697288,0.417072794151949
"HOXD10",0.00856508991417591,0.417099301158517
"AL355499.1",0.008562626505372,0.417233295093326
"AC005682.2",0.00856258273604725,0.417235676098497
"AC068790.7",0.00855925595098083,0.417416673138966
"AC136469.1",0.00855867623969561,0.417448217639347
"IL20RB",0.00855778833875251,0.417496534743154
"AP000322.1",0.00855705472258508,0.417536458583834
"AC131391.1",0.00855673451735831,0.417553885053342
"Z92544.2",0.00855624999105443,0.417580255153069
"H2AFB3",0.0085546202133467,0.417668962183371
"TRBV11-3",0.00855456858295602,0.417671772550851
"AC020656.2",0.00855388857098126,0.417708788292711
"AC015813.4",0.0085524928802932,0.417784767311275
"PAEP",0.00855068974396674,0.41788293902593
"XIRP1",0.00854830955488502,0.41801254916627
"HIGD1A",0.00854571546663904,0.418153833866541
"AL732314.4",0.00854264429885273,0.418321138620138
"ACTA2-AS1",0.00852822074403851,0.419107402258991
"AC035140.1",0.00852660170114288,0.419195714514562
"AC009908.1",0.00852339512144459,0.419370652790779
"AL031673.1",0.00852098751534952,0.419502030442708
"NXPH2",0.00852006440738571,0.41955240878482
"SIX1",0.00851399333470248,0.419883824362757
"AC005034.4",0.00851285606259958,0.419945924347577
"PTPRB",0.00850909311751099,0.420151435917325
"THEM5",0.00850898468579916,0.420157358742522
"SUN1",0.00850695734893742,0.420268106242771
"AC127035.1",0.00850676203333234,0.420278776670023
"LINC01676",0.0085043168454842,0.420412374949782
"HSPA4L",0.00849562580257764,0.420887431224138
"XXYLT1-AS2",0.00849515128771716,0.420913377484537
"OR2AK2",0.00849135351530014,0.421121071801183
"AC092819.3",0.00849135351530014,0.421121071801183
"ARHGEF4",0.00848872060675903,0.42126509679652
"HARS2",0.00848823470973121,0.421291679425944
"VTCN1",0.00848754127363388,0.421329617881608
"CCDC113",0.00848640503556298,0.421391786727227
"CCR4",0.00848609591670811,0.421408700981968
"JAM3",0.00848528212344852,0.421453231734035
"RAB8B",0.00848238293720678,0.421611897579839
"YIPF7",0.00847790386500198,0.42185709582665
"SAMD12-AS1",0.00847734227468475,0.421887844911889
"AL590714.1",0.00847354914134101,0.422095566978743
"SLC17A3",0.00846893401653954,0.422348384296846
"MED4-AS1",0.00846511866830156,0.422557456693416
