"","corr","p"
"CLEC12A",-0.473331603211765,0
"HES4",-0.474352084660052,0
"SMIM25",-0.47706427325128,0
"PSMB9",-0.481121122052475,0
"ICAM3",-0.484253212911982,0
"CD79B",-0.487719928071217,0
"HCK",-0.489410380180495,0
"PRELID1",-0.490553100402256,0
"STXBP2",-0.494475718952781,0
"S100A4",-0.497115127570353,0
"CD48",-0.497819845302626,0
"WARS",-0.50091609363507,0
"GPBAR1",-0.513060596675052,0
"DUSP6",-0.514071187787626,0
"SPN",-0.51566044911206,0
"CASP1",-0.525211499210635,0
"MYO1G",-0.526914238844122,0
"LIMD2",-0.534287406857153,0
"CDKN1C",-0.540340839294316,0
"LYST",-0.544978771031924,0
"KLF2",-0.556923774263548,0
"TNFRSF1B",-0.558489193358153,0
"IFITM3",-0.559075850035762,0
"CARD16",-0.562289123057314,0
"APOBEC3A",-0.565437466371469,0
"AIF1",-0.572946671216909,0
"LILRA5",-0.573960653941547,0
"CX3CR1",-0.576294425035255,0
"TNFSF10",-0.577756396464,0
"CORO1A",-0.579983832022885,0
"FGL2",-0.582196667273263,0
"SERPINA1",-0.58294191106158,0
"POU2F2",-0.593432286972283,0
"LILRB2",-0.593460096768548,0
"TCF7L2",-0.598011004478153,0
"PTPRC",-0.602016156448083,0
"PLAC8",-0.609523210454819,0
"COTL1",-0.615030076321538,0
"CFP",-0.629718423198475,0
"RIPOR2",-0.640987267531004,0
"FCN1",-0.65326983286557,0
"IFITM2",-0.69236808053388,0
"LST1",-0.761869217370009,0
