"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"E2F3",-0.290381037033105,0.0565541099134654,-5.13457001582064,1.05360945482346e-06,"Myeloid",0.00469383012123851,"grey",""
"MRS2",-0.0522873546292769,0.051768871642451,-1.01001534262533,0.314439053372468,"Myeloid",1,"grey",""
"TDP2",0.0855863862041381,0.0537962510015843,1.59093588513478,0.11414992072318,"Myeloid",1,"grey",""
"ACOT13",0.0964201514960874,0.0575572777579428,1.67520347125489,0.0963942228425141,"Myeloid",1,"grey",""
"C6orf62",-0.0242768945739514,0.0555894973316677,-0.436717289043043,0.663069836675071,"Myeloid",1,"grey",""
"TRIM38",-0.317326043062952,0.048010783822474,-6.60947432635771,1.00291890123641e-09,"Myeloid",4.46800370500819e-06,"grey",""
"HIST1H4C",-0.540337323792428,0.0618920058854596,-8.73032495977595,1.3664730770981e-14,"Myeloid",6.08763755847205e-11,"grey",""
"BTN3A2",-0.459295626494667,0.0576915789666701,-7.96122475274968,8.90622383537615e-13,"Myeloid",3.96772271866008e-09,"grey",""
"BTN2A1",-0.279038829137947,0.0531936539734811,-5.24571651492597,6.44912232164251e-07,"Myeloid",0.00287308399429174,"grey",""
"HMGN4",-0.190624356700201,0.051135457712266,-3.72783123938823,0.000291384818153579,"Myeloid",1,"grey",""
"ABT1",-0.210326777911469,0.0501939534500341,-4.19028116844472,5.22429277014404e-05,"Myeloid",0.232742242909917,"grey",""
"ZSCAN16-AS1",-0.129809633197006,0.0653495446230885,-1.98638925405982,0.0491776297565931,"Myeloid",1,"grey",""
"TRIM27",-0.17640031546413,0.06054381765011,-2.91359749534739,0.00423405743829772,"Myeloid",1,"grey",""
"HLA-F",-0.325109322990032,0.0486360988127127,-6.684527150131,6.8827727443629e-10,"Myeloid",3.06627525761367e-06,"grey",""
"HLA-A",0.0276891052490013,0.0109995252818238,2.51730002337068,0.0130905220690422,"Myeloid",1,"grey",""
"ZNRD1",-0.351272670530607,0.0539396655222284,-6.51232570928435,1.62812325240542e-09,"Myeloid",7.25328908946613e-06,"grey",""
"PPP1R11",-0.18382134452345,0.0522727978994178,-3.51657749174159,0.00060991166143235,"Myeloid",1,"grey",""
"RPP21",-0.198898604219958,0.0549798657977683,-3.61766259946076,0.000429923739392017,"Myeloid",1,"grey",""
"HLA-E",-0.123913457680028,0.0278253410512863,-4.45325925930744,1.85311268471837e-05,"Myeloid",0.0825561701042033,"grey",""
